2,2
3,2
4,2
5,2
2,3
3,3
4,3
5,3
2,4
3,4
4,4
5,4
2,6
3,6
4,6
5,6
2,7
3,7
4,7
5,7
1,9
1,10
2,9
2,10
3,9
3,10
4,9
4,10
5,9
5,10
2,12
3,12
4,12
5,12
2,13
3,13
4,13
5,13
2,15
3,15
4,15
5,15
2,16
3,16
4,16
5,16
2,17
3,17
4,17

5,17
7,1
7,2
7,3
8,1


9,3
10,2
10,3
11,3
12,1
13,1
13,2
13,3

12,7
12,12

7,16
7,17
7,18
8,18
9,16
10,16
10,17
11,16
12,18
13,18
13,17
13,16

7,5
8,5
9,5
10,5
11,5
12,5
9,6
9,7
10,6
10,7

7,14
8,14
9,14
10,14
11,14
12,14
9,13
9,12
10,13
10,12

7,7
7,8
7,9
7,10
7,11
7,12
8,9
8,10
9,9
9,10

14,7
14,8
14,9
14,10
14,11
14,12
13,9
13,10
12,9
12,10

15,2
15,3
15,4
16,2
16,3
16,4
17,2
17,3
17,4
14,5
15,5
16,5
17,5

15,15
15,16
15,17
16,15
16,16
16,17
17,15
17,16
17,17
14,14
15,14
16,14
17,14

16,7
17,7

16,12
17,12

16,9
17,9
18,9
16,10
17,10
18,10
